"","Country_Standard","ENVHEALEPI","BIODIVEPI","ENERGYEPI","WATEREPI","AIREPI","RESMGTEPI","ESI2005","SYSTEM","STRESS","VULNER","CAP","GLOBAL","FUNDING","WI","HWI","EWI","FOODSC","ECONSZSC","DEBTSC","ESC","POSC","GESC","EI","LANDDSC","LANDQSC","FPSC","FSHSC","OVRFSH","CIVLIB","HAZARDS","RESISTANCE","DAMAGE","PARTICIP","GRAFT","LAW","GOVEFF","POLITY","EVI"
"1","Afghanistan",10,39.5,66.7471264367816,89.1,37,86.9,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,7.05,27,6,48,15,8,34.8901734104046,12,4,14,14,27,68,50.6496815286624,39.9661016949153,4,6,2.80952380952381,2.75,3.2,0.43,-1.35,-1.61,-1.39,-5.38,289.473684210526
"2","Angola",7.8,47.3,74.9,92,51.2,88.9,42.9,67.9,59.1,11.8,22.1,39.1,37.18,37.5,8,67,19,18,0,9,4,56,56,59,56,79,79,3,5.5,2.26666666666667,2,2.27272727272727,0.31,-1.12,-1.56,-1.16,-3.4,225
"3","Albania",77.7,22.2,75.6,99.8,14.4,88.9,58.8,52.4,65.4,72.3,46.2,57.9,88.46,42,38,46,86,25,24,65,18,40,40,31,17,79,18,3,3,3.20689655172414,3.375,3.63636363636364,0.42,-0.85,-0.92,-0.47,5.7,329.787234042553
"4","United Arab Emirates",92.7,55.6,34.3,62.1,38.5,77.8,44.6,48.9,39.8,71.7,40,26.6,50.7821428571429,28.5,41,16,66,75,79,47,47,8,8,53,26,73,73,5,5.5,3.37037037037037,2.625,2,0.42,1.19,0.95,0.83,-8,293.333333333333
"5","Argentina",86.7,49.8,77.8,71.4,63.1,81,62.7,67.6,54.9,69.9,65.4,58.5,19.87,47.5,55,40,91,64,1,80,80,57,46,51,54,60,60,4,3,3.10344827586207,2.875,2.09090909090909,0.93,-0.77,-0.73,-0.49,8.4,287.234042553192
"6","Armenia",70.2,55,45.2,49,37.8,100,53.2,54.4,62.2,50.8,34.9,60.3,82.05,50,45,55,86,20,43,48,57,42,42,49,88,71,71,4,4,2.26315789473684,2.5,3.1,0.58,-0.72,-0.44,-0.42,4,247.222222222222
"7","Antigua and Barbuda",63.486013986014,49.1798701298701,69.9,83.2824242424242,65.1,94.4,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,59.62,44.5,49,40,84,57,80,53.5602409638554,80,11,11,55,58,60,20,2,3,2,5,3.85714285714286,0.64,0.84,1.02,0.56,2.77006369426752,307.142857142857
"8","Australia",99,49.5,68.4,47.3,46.9,94.4,61,78.1,40.5,75.2,76.9,30.2,36,53.5,79,28,88,82,84,98,70,74,62,55,85,79,16,2,1,2.63333333333333,2.375,1.54545454545455,0.79,1.91,1.85,1.84,10,237.5
"9","Austria",97.7,28.8,82.2,99.4,57.2,95.7,62.7,57.9,42.4,80,81.9,60.6,16,61,80,42,88,83,60,89,81,66,66,59,57,36,1,4,1,3.96153846153846,3,3.66666666666667,0.82,1.85,1.91,1.79,10,369.047619047619
"10","Azerbaijan",59.2,50.1,8,70.5,32.7,100,45.4,51,59,38,25.5,45.2,99.36,35,42,28,57,21,55,62,68,52,52,35,77,50.6496815286624,80,4,5.5,3.6,3.375,3.7,0.57,-1.07,-0.79,-0.96,-6.9,354.054054054054
"11","Burundi",30.6,37.2,88.8,96.1,90.9,50,40,37.2,46.2,17.6,28.6,74.4,28.21,33,6,60,15,6,0,6,0,40,49,26,23,62,62,4,5.5,2.66666666666667,2.25,4.44444444444444,0.65,-1.02,-1.49,-1.46,-0.3,287.5
"12","Belgium",96.6,16.7,73.2,53.2,59,74,44.4,24.3,22.9,76,73.8,54.5,44,51.5,80,23,88,83,41,92,79,68,71,30,57,16,2,5,1,3.93103448275862,2.875,4.72727272727273,0.88,1.57,1.45,1.85,10,387.234042553192
"13","Benin",33.1,88.1,79.5,99.4,78.9,72.2,47.5,40.4,48.2,45.3,38.5,71.4,81.41,49,27,71,48,9,34,19,80,36,36,54,69,44,44,6,2.5,2.71428571428571,2.25,3.45454545454545,0.64,-0.61,-0.42,-0.62,6,278.260869565217
"14","Burkina Faso",9.9,80,86.5,88.3,52.4,75.1,45.7,36,56.8,34.8,29.3,73.4,86.54,37.5,17,58,47,9,15,6,75,38,37,52,31,18,18,4,4,2.25,2,2.7,0.71,-0.04,-0.55,-0.69,-2.5,229.268292682927
"15","Bangladesh",38.2,25.3,81.7,91.3,6.9,38.9,44.1,32.7,58.3,20,32.7,76.8,50,36.5,27,46,17,14,36,23,36,28,44,9,23,41,41,6,4,3.44827586206897,2,4.63636363636364,0.85,-1.12,-0.78,-0.53,6,340.425531914894
