"","Country_Standard","OZONERAW","PM10RAW","INDOORRAW","NLOADRAW","OVRSUBRAW","HARVESTRAW","AGSUBRAW","MORTALITYRAW","ENEFFRAW","CO2GDPRAW","RENPCRAW","OVRFSHRAW","WATSUPRAW","ACSATRAW","PWIRAW","PACOVRAW","WATAVL","NOXKM","SO2KM","VOCKM","COALKM","CARSKM","FOREST","TFR","EFPC","U5MORT","DISCAS","DISEXP","GASPR","ENEFF","ISO14","CO2GDP","CO2PC","WIND","DRY","WET","HOT","COLD","SST","VOLCANO","EARTHQK","TSUNAMI","SLIDES","LAND","DISP","ISOL","RELIEF","BORD","IMBAL","OPEN","MIG","ENDEM","INTRO","ENDANG","EXTINCT","FRAG","FARM","FERTL","BIOTECH","PRDOF","SULPH","MINING","VEH","POPDN","TOUR","CSTPOP","AGRMT","CLMCHG","FERTCON","LIFEEXP","SECENR","CULTOT","PRODHA","MTCATCH","CATCHSC","LANDAREA","WATICEAREA","TOTALAREA","INDOOR","ECORISK","PRTBRD","PRTMAM","PRTAMPH","ANTH10","ANTH40","ACEXC","GR2050","WATSTR","FORCERT","UND_NO","WATSUP","PRAREA","RENPC","PECR","ENROL","LOW","VEG","VEGLO","DEG","RESRV","WATER","POPGRTH","CROPLAND","FORESTAR","POPCOAST","CHLDIMM","URBANPCT","INVEST","MODPCT","CULPCT","CEREAL","STARCH","SUGARS","OILNUTS","PULSES","FRUIT","MEATS","DAIRY","FPPCT","FSPCT"
"1","Afghanistan",57.27,47.42,98,62.52,11.28,10.62,0,32.93,966.9,365.719382022472,33.47,4.32624113475177,13,8,0.81,0.59,5.17,2.31398692810458,2.02892617449664,3.68503225806452,0,0.03,0,6.8,0.95,257,24.63,0.91,0.56,8.20536144578313,0,366.078314606742,0.04,420.536573573574,-6.2,11.2,94.4831621621622,13.0808498498498,8.23519272108843,0,1,0.297734705555556,3.06706129521999,652090,8.47889095063565,0,7227,6,0.07288927129776,1877.38031268493,0.0460059194282998,1237.55923262126,0.0184023677713199,0.0429388581330798,0,0.0322041435998098,1786.20161387381,12.3510558358509,0,616860.446235162,0.202134674661473,4.18193807603245,0.034841816313699,34.841816313699,0.00613412259043997,0,47,0.014468,6.32,45.81,12,11062,0.6,3.22445859872611,40.343949044586,634924.74,948.88,635873.62,98,53.02,4.68,10.57,14.29,19.8,0.08,0,187,97.82,0,70,13,0.3,20.71,0,25.332323943662,0,6.5,-7.06,27.8461538461538,0.3,47.4727,3.63501234185902,12.351,2.1,0,45,21.5,20.5970138888889,64.5,17,96,99,39,76,100,100,100,98,88,71.9239766081871
"2","Angola",21.76,124.8,100,318.28,5.5,0.17,0,33.56,4667.61,254.02,9.68,3,50,30,9.51,0.57,140.46,0.33,0.2,1.94,0,0.41,-0.2,6.8,0.76,260,0.11,0.55,0.31,4.3,0,254.02,0.52,327.753997565989,-28.8,1.2,4.02446469453776,10.2802469135802,6.878,0,0,0,0.802117590438758,1246700,5.97577604876875,0,2620,4,0.00896066782618153,3.75471244084383,0.0417101147028154,1058.79521937916,0.00320847036175503,0.049731290607203,0,0.0412521055586749,68.0516563728243,2.80741156653565,0,472973.589696843,0.104074757359429,23.5004413934193,0.185934065934066,10.3296703296703,0.0395711344616454,16.8123090586146,34,0.30805,2.33,46.5,19,7120,1.9,3.04,50,1251895.62,20.51,1251916.13,100,4.09,1.96,6.88,0,49.04,0.04,1.83,206,0,0,49,50,10,8.74,71,0.67,12.8378378378378,15.3,-0.95,13.6765888978278,6.6,0.26087,1.89618629002207,2.8074,56,29,41,33.56,22.88,40.8,5.7,56,100,79,88,92,99,77,66,82,93
"3","Albania",45.3,150.7,15,27.13,0,0.37,0,2.33,6751.34,224.52,41.05,3,97,89,0.3,0.01,7.13,0.07,0.6,0.57,0.01,7.22,-0.8,2.1,1.25,30,0.22,0.04,1.31,5.99,0,224.52,0.92,679.912336421953,-73.6,118.6,61.65973042362,66.9260038486209,12.762,0,0,0,0,27400,49.963503649635,2100,65,4,0.228535724100948,29.5255474452555,1.56934306569343,875.912408759124,0.474452554744526,0.766423357664234,0,0.656934306569343,337.583160583942,179.343065693431,0,888023.408835642,0,3436.10739051095,2.27226277372263,113.613138686131,1.22262773722628,110.318357664234,58,0.12978,88.39,71.88,81,846,3.3,3.87,59,28346.12,16.34,28362.45,15,100,1.3,4.41,12.5,0.44,3.25,2.54,15,23.09,0,4,97,2.6,39.6,97,15,30.7692307692308,37.3,0,93.1034482758621,2.9,5.20446,1.3695079826413,25.511,36.2,97,95,41.02,31.34,57.6,30.9,47,87,55,67,99,76,87,98,77,45
"4","United Arab Emirates",46.66,78.29,0,0,41.55,0,0,0.25,30689.77,300.48,0,5,98,100,0,1,0.38,4.99,1.52,10.55,0,8.64,2.8,2.54,8.97,9.78,0,0.39,0.48,32.28,1.71,300.48,20.91,173.535001413434,-12.2,6.8,88.977969350086,6.10181200564959,10.218,0,0,0,0,83600,44.7129186602871,0,1527,3,0.0807880631166376,1877.38031268493,0.41866028708134,11.9617224880383,0.0239234449760766,0.155502392344498,0,0.0130143540669856,0.421909090909091,407.906698564593,0,161571.214589679,1.90885167464115,1588.96115311005,2.39428229665072,29.1985645933014,657.701573397486,24.7895813397129,1,11.493,7725,75.21,79,170,20.6,5.57,68,74776.6,450.62,75227.22,0,0,11.94,16,0,0.46,5.02,0,35,92.72,0,0,98,7.38,0,90.67,18.1,53.8461538461538,0,0,4,0,1406.67,1.67526534233739,0.9689,3.8,85,92,85.48,24.06,16.2,2,1,5,0,0,65,39,46,14,21,100
"5","Argentina",27.92,70.96,0,692.33,24.12,1.07,0.63,0.6,6119.85,128.71,13.8,4,94,82,9.03,0.69,27.27,0.83,0.02,0.51,0.02,7.15,-0.8,2.44,3.18,19,0.34,0.59,1.03,5.66,41.51,128.71,3.73,391.031973716715,-34,61.6,163.511434338824,135.761050226776,4.528,0,0,0,0,2736690,6.59994372764179,0,7000,5,0.0287234942108129,12.7007443298291,0.0219242954079563,471.737756194527,0.00767350339278471,0.0496950695913677,0.000365404923465939,0.0787337988592058,1786.20161387381,278.292389711659,366,319868.688641172,0.120908835125644,0,1.71852274097541,13.5316751257906,1.08415640792344,19.889760628796,107,1.0067,332.88,73.34,100,41947,1.9,4.98,65,2736296,15655.67,2751951.67,0,39.07,4.35,10,19.35,46.51,1,0,40,19.64,0.38,0,80.2409375,6.3,14.92,100,47.96,46.7889908256881,59.5,-0.26,10.9307359307359,1.8,7.93889,1.18938186660346,9.939,12.7,45,85,89.6,17.71,29.1,15.3,100,100,100,100,100,100,100,100,100,100
"6","Armenia",45.27,84.88,66,107.62,68.61,0.14,0,1.27,15417.28,507.5,9.71,4.32624113475177,92,84,24.41,0.75,1.45,2.55,2.29,1.64,0,42.1457055214724,1.3,1.21,0.75,35,0.05,0.16,0.69,15.96,0,507.5,1.13,343.242240578675,-19.2,7.6,77.6058665786044,52.5772330687518,8.23519272108843,0,1,0.297734705555556,0,28200,44.468085106383,0,3695,5,0.07288927129776,33.758865248227,1.38297872340426,106.382978723404,0.0354609929078014,0.851063829787234,0,0.592836879432624,1786.20161387381,277.517730496454,0,616860.446235162,0.54113475177305,0,10.7347517730496,124.822695035461,657.701573397486,0,32,0.23521,161.94,74.36,87,641,4.9,2.72,47,28272.73,769.13,29041.86,66,100,1.65,13.1,0,2.65,2.47,0,-24,87.14,0,51,92,10,10.58,95,25.332323943662,0,21.1,2.69,10.3448275862069,7.6,32.1978,-0.341435895385611,19.858,12.5,0,87,69.72,17.2,57.8,22.7,42,100,2,4,96,95,50,87,59,100
"7","Antigua and Barbuda",42.97,15.64,44.31875,16731.0132727273,13.5706060606061,0,0,6.56508379888268,9057.69,157.3,0,2,91,95,5.56,1,27.1595973154362,2.31398692810458,6.76,1.46,0,54.07,0,2.7,2.54724137931034,14,39.3760810810811,1,0.92,9.35,0,157.3,4.91,187.66774331543,-46.4463276836158,32.5446327683616,0.650104910714286,0.976016818258595,4.274,0,0,0,0,442,346.153846153846,2110,402,4,0.113449803349666,1877.38031268493,49.7737556561086,5518.2432458196,9.04977375565611,22.6244343891403,0,0.624629737420906,522.62443438914,3637.70225810391,0,1905371.06376975,6.58371040723982,0,17.8193832454895,151.515837104072,657.701573397486,139.292120238554,57,1.41884610516129,1576.68641891892,66.2676774193548,71.6473988439306,8,6.1,1.04,21,443.84,0,443.84,45.1656050955414,0,4.59693333333333,14.9130322580645,0,0,33.65,0,1,25.2959731543624,0,16.9328859060403,91,11.4151396648045,0,91.0238414634146,25.332323943662,100,30.4293333333333,-0.617032258064516,37.2755101651497,7.37727272727273,77.7750165173611,1.43727774154212,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,63.6,18.2,1,34,0,9,38,86,16,58,30,50
"8","Australia",60.57,18.58,0,1159.31,45.69,0.35,-0.83,0.3,8960.47,208.95,3.72,2,100,100,12.58,0.72,33.2,14.28,11.86,12.79,10.29,59.91,-0.18,1.73,7.09,5,0.52,0.28,0.82,9.54,1.5,208.95,18.32,388.480877571855,-76.2,38.8,123.673294931895,54.6799716693601,3.952,0,2,0.0150308,0.260338700649545,7682300,8.66016687710712,0,2244,3,-0.0353277948124081,10.6578758965414,0.00767999166916158,2011.63713991903,0.00585762076461476,0.0682087395701808,0.00442575791104227,0.118844616846517,35.3169245720683,297.215677596553,214,2238294.8332195,0.204825377816539,0.000986423336761126,1.19231349986332,2.45837835023365,0.540228837717871,2.54916999849692,129,4.4477,427.42,78.63,154,57143,4,3.74,57,7634643.84,29236.06,7663879.9,0,16.23,5.39,24.23,21.86,86.84,0.24,0,31,8.27,0.71,1,100,7.5,3.45,91.0238414634146,63.26,32.5905292479109,64.3,0.04,3.20855614973262,7,4.27841,1.00692839200569,7.0291,20.6,90,86,84.7,21.47,80.5,7.4,100,95,100,100,100,100,100,100,99,41
"9","Austria",44.49,32.74,0,60.24,0,1.48,0.78,0.24,5833.25,61.65,24.82,4.32624113475177,100,100,5.46,0.12,10.84,2.46,0.43,2.31,1.63,65.12,0.2,1.36,4.87,4.46,0.12,0.11,1.38,5.62,2.13,61.65,8.53,298.122441228088,-20,33.8,271.507188605612,122.818829645548,8.23519272108843,0,0,0.297734705555556,24.1750271969056,82730,30.9682098392361,0,3683,8,0.07288927129776,1061.53753172972,0.580200652725734,423.062975945848,0.21757524477215,0.797775897497885,0.0241750271969056,2.41750271969056,4734.92068669165,3003.40867883476,3,616860.446235162,2.56206938232806,111.808191949716,45.4567629638583,99.2505741568959,212.744268503969,139.292120238554,140,2.0906,1664.3,77.75,100,1681,5.6,0.44,9,83160.64,43.71,83204.35,0,42.21,1.41,8.43,0,0.02,7.75,50.81,1,0,10.14,1,100,36.4,23.15,100,45.8,22.9508196721311,52.8,0,38.0952380952381,29.2,4.09091,0.234568893992708,17.877,47,2,90,64.62,23.7,74.9,20.3,100,87,98,68,60,65,100,100,85,2
"10","Azerbaijan",45.19,99.3,37,88.59,31.39,0.01,0,4.13,21370.79,1845.85,3.95,4.32624113475177,77,55,10.64,0.71,3.11,1.32,0.56,3.28,0,5.49,1.3,1.84,1.91,105,0.1,0.16,0.61,21.9,0.19,1845.85,3.56,343.242240578675,-31.2,10.6,77.6058665786044,52.5772330687518,18.716,0,1,0.297734705555556,11.5473441108545,86600,23.2448036951501,0,4457,7,0.07288927129776,21.9399538106236,0.623556581986143,2771.36258660508,0,0.427251732101617,0,0.315554272517321,29.6581346420323,312.817551963049,0,616860.446235162,3.02263279445727,0,3.21505773672055,89.3071593533487,657.701573397486,49.7440877598152,24,1.4756,135.77,71.36,83,2175,1.9,3.22445859872611,40.343949044586,85359.86,244.79,85604.66,37,100,3.23,13.13,0,46.68,3.03,0,40,96.27,0,21,77,4.6,2.16,88,22.52,60.8695652173913,32,0,56.3218390804598,5.5,204.074,0.295928209047745,22.344,12.6,56,95,56.98,33.19,64.2,25.1,62,92,2,88,98,88,60,95,73,100
