"","Country_Standard","OVRFSH","CIVLIB","HAZARDS","RESISTANCE","DAMAGE","PARTICIP","GRAFT","LAW","GOVEFF","POLITY"
"1","Afghanistan",4,6,2.80952380952381,2.75,3.2,0.43,-1.35,-1.61,-1.39,-5.38
"2","Angola",3,5.5,2.26666666666667,2,2.27272727272727,0.31,-1.12,-1.56,-1.16,-3.4
"3","Albania",3,3,3.20689655172414,3.375,3.63636363636364,0.42,-0.85,-0.92,-0.47,5.7
"4","United Arab Emirates",5,5.5,3.37037037037037,2.625,2,0.42,1.19,0.95,0.83,-8
"5","Argentina",4,3,3.10344827586207,2.875,2.09090909090909,0.93,-0.77,-0.73,-0.49,8.4
"6","Armenia",4,4,2.26315789473684,2.5,3.1,0.58,-0.72,-0.44,-0.42,4
"7","Antigua and Barbuda",2,3,2,5,3.85714285714286,0.64,0.84,1.02,0.56,2.77006369426752
"8","Australia",2,1,2.63333333333333,2.375,1.54545454545455,0.79,1.91,1.85,1.84,10
"9","Austria",4,1,3.96153846153846,3,3.66666666666667,0.82,1.85,1.91,1.79,10
"10","Azerbaijan",4,5.5,3.6,3.375,3.7,0.57,-1.07,-0.79,-0.96,-6.9
"11","Burundi",4,5.5,2.66666666666667,2.25,4.44444444444444,0.65,-1.02,-1.49,-1.46,-0.3
"12","Belgium",5,1,3.93103448275862,2.875,4.72727272727273,0.88,1.57,1.45,1.85,10
"13","Benin",6,2.5,2.71428571428571,2.25,3.45454545454545,0.64,-0.61,-0.42,-0.62,6
"14","Burkina Faso",4,4,2.25,2,2.7,0.71,-0.04,-0.55,-0.69,-2.5
"15","Bangladesh",6,4,3.44827586206897,2,4.63636363636364,0.85,-1.12,-0.78,-0.53,6
"16","Bulgaria",4,1.5,3.46666666666667,3,2.81818181818182,0.76,-0.17,0.05,-0.06,9.2
"17","Bahrain",3,5,2.70588235294118,4.28571428571429,4,0.56,0.95,0.92,0.78,2.77006369426752
"18","Bahamas",1,1,2.17647058823529,3.71428571428571,2,0.65,1.41,1.34,1.4,2.77006369426752
"19","Bosnia and Herzegovina",4,4,3.10526315789474,2.25,3.77777777777778,0.35,-0.6,-0.88,-0.9,0
"20","Belarus",4,6,2.55,2.375,2.11111111111111,0.54,-0.78,-1.12,-1.03,-4.5
"21","Belize",3,1.5,2.85185185185185,2.375,1.90909090909091,0.58,-0.25,0.05,-0.06,2.77006369426752
"22","Bolivia",4,2.5,2.52,3,1.9,0.85,-0.82,-0.6,-0.53,9
"23","Brazil",4,2.5,3.10344827586207,2.625,2.09090909090909,0.8,-0.05,-0.3,-0.22,8
"24","Barbados",4,1,3.2,4.75,5.75,0.52,1.29,1.43,1.36,2.77006369426752
"25","Brunei Darussalam",3,5.5,2.88235294117647,3.83333333333333,3.22222222222222,0.24,0.32,0.64,0.96,-7.7
"26","Bhutan",4,5.5,2.64705882352941,2.75,2.2,0.5,0.91,0.1,0.93,-8
"27","Botswana",4,2,2.12,1.5,1.4,0.65,0.76,0.72,0.87,9.6
"28","Central African Republic",4,5,2,2,1.6,0.42,-1.02,-0.88,-1.43,5
